"population","relationship_type","sim_id","locus","loci_set","combined_LR"
"all","unrelated",1,"D22S1045","core_13",1
"all","unrelated",1,"D2S1338","core_13",1
"all","unrelated",1,"D2S441","core_13",1
"all","unrelated",1,"D3S1358","core_13",1
"all","unrelated",1,"D5S818","core_13",1
"all","unrelated",1,"D6S1043","core_13",1
"all","unrelated",1,"D7S820","core_13",1
"all","unrelated",1,"D8S1179","core_13",1
"all","unrelated",1,"F13A01","core_13",1
"all","unrelated",1,"F13B","core_13",1
"all","unrelated",1,"FESFPS","core_13",1
"all","unrelated",1,"FGA","core_13",1
"all","unrelated",1,"LPL","core_13",1
"all","unrelated",1,"Penta_C","core_13",1
"all","unrelated",1,"Penta_D","core_13",1
"all","unrelated",1,"Penta_E","core_13",1
"all","unrelated",1,"SE33","core_13",1
"all","unrelated",1,"TH01","core_13",1
"all","unrelated",1,"TPOX","core_13",1
"all","unrelated",1,"vWA","core_13",1
"all","unrelated",2,"CSF1PO","core_13",1
"all","unrelated",2,"D10S1248","core_13",1
"all","unrelated",2,"D12S391","core_13",1
"all","unrelated",2,"D13S317","core_13",1
"all","unrelated",2,"D16S539","core_13",1
"all","unrelated",2,"D18S51","core_13",1
"all","unrelated",2,"D19S433","core_13",1
"all","unrelated",2,"D1S1656","core_13",1
"all","unrelated",2,"D21S11","core_13",1
"all","unrelated",2,"D22S1045","core_13",1
"all","unrelated",2,"D2S1338","core_13",1
"all","unrelated",2,"D2S441","core_13",1
"all","unrelated",2,"D3S1358","core_13",1
"all","unrelated",2,"D5S818","core_13",1
"all","unrelated",2,"D6S1043","core_13",1
"all","unrelated",2,"D7S820","core_13",1
"all","unrelated",2,"D8S1179","core_13",1
"all","unrelated",2,"F13A01","core_13",1
"all","unrelated",2,"F13B","core_13",1
"all","unrelated",2,"FESFPS","core_13",1
"all","unrelated",2,"FGA","core_13",1
"all","unrelated",2,"LPL","core_13",1
"all","unrelated",2,"Penta_C","core_13",1
"all","unrelated",2,"Penta_D","core_13",1
"all","unrelated",2,"Penta_E","core_13",1
"all","unrelated",2,"SE33","core_13",1
"all","unrelated",2,"TH01","core_13",1
"all","unrelated",2,"TPOX","core_13",1
"all","unrelated",2,"vWA","core_13",1
"all","unrelated",3,"CSF1PO","core_13",1
"all","unrelated",3,"D10S1248","core_13",1
"all","unrelated",3,"D12S391","core_13",1
"all","unrelated",3,"D13S317","core_13",1
"all","unrelated",3,"D16S539","core_13",1
"all","unrelated",3,"D18S51","core_13",1
"all","unrelated",3,"D19S433","core_13",1
"all","unrelated",3,"D1S1656","core_13",1
"all","unrelated",3,"D21S11","core_13",1
"all","unrelated",3,"D22S1045","core_13",1
"all","unrelated",3,"D2S1338","core_13",1
"all","unrelated",3,"D2S441","core_13",1
"all","unrelated",3,"D3S1358","core_13",1
"all","unrelated",3,"D5S818","core_13",1
"all","unrelated",3,"D6S1043","core_13",1
"all","unrelated",3,"D7S820","core_13",1
"all","unrelated",3,"D8S1179","core_13",1
"all","unrelated",3,"F13A01","core_13",1
"all","unrelated",3,"F13B","core_13",1
"all","unrelated",3,"FESFPS","core_13",1
"all","unrelated",3,"FGA","core_13",1
"all","unrelated",3,"LPL","core_13",1
"all","unrelated",3,"Penta_C","core_13",1
"all","unrelated",3,"Penta_D","core_13",1
"all","unrelated",3,"Penta_E","core_13",1
"all","unrelated",3,"SE33","core_13",1
"all","unrelated",3,"TH01","core_13",1
"all","unrelated",3,"TPOX","core_13",1
"all","unrelated",3,"vWA","core_13",1
"all","unrelated",4,"CSF1PO","core_13",1
"all","unrelated",4,"D10S1248","core_13",1
"all","unrelated",4,"D12S391","core_13",1
"all","unrelated",4,"D13S317","core_13",1
"all","unrelated",4,"D16S539","core_13",1
"all","unrelated",4,"D18S51","core_13",1
"all","unrelated",4,"D19S433","core_13",1
"all","unrelated",4,"D1S1656","core_13",1
"all","unrelated",4,"D21S11","core_13",1
"all","unrelated",4,"D22S1045","core_13",1
