allele,marker,frequency,population
10,D13S317,0.103092783505155,Asian
10,D16S539,0.164948453608247,Asian
10,D18S51,0,Asian
10,D19S433,0,Asian
10,D1S1656,0,Asian
10,D21S11,0,Asian
10,D22S1045,0,Asian
10,D2S1338,0,Asian
10,D2S441,0.268041237113402,Asian
10,D3S1358,0,Asian
10,D5S818,0.22680412371134,Asian
10,D6S1043,0.0309278350515464,Asian
10,D7S820,0.262886597938144,Asian
10,D8S1179,0.123711340206186,Asian
10,F13A01,0,Asian
10,F13B,0.731958762886598,Asian
10,FESFPS,0.0927835051546392,Asian
10,FGA,0,Asian
10,LPL,0.644329896907217,Asian
10,Penta_C,0.0670103092783505,Asian
10,Penta_D,0.185567010309278,Asian
10,Penta_E,0.0618556701030928,Asian
10,SE33,0,Asian
10,TH01,0.00515463917525773,Asian
10,TPOX,0.0309278350515464,Asian
10,vWA,0,Asian
10.1,CSF1PO,0,Asian
10.1,D10S1248,0,Asian
10.1,D12S391,0,Asian
10.1,D13S317,0,Asian
10.1,D16S539,0,Asian
10.1,D18S51,0,Asian
10.1,D19S433,0,Asian
10.1,D1S1656,0,Asian
10.1,D21S11,0,Asian
10.1,D22S1045,0,Asian
10.1,D2S1338,0,Asian
10.1,D2S441,0,Asian
10.1,D3S1358,0,Asian
10.1,D5S818,0,Asian
10.1,D6S1043,0,Asian
10.1,D7S820,0,Asian
10.1,D8S1179,0,Asian
10.1,F13A01,0,Asian
10.1,F13B,0,Asian
10.1,FESFPS,0,Asian
10.1,FGA,0,Asian
10.1,LPL,0,Asian
10.1,Penta_C,0,Asian
10.1,Penta_D,0,Asian
10.1,Penta_E,0,Asian
10.1,SE33,0,Asian
10.1,TH01,0,Asian
10.1,TPOX,0,Asian
10.1,vWA,0,Asian
10.2,CSF1PO,0,Asian
10.2,D10S1248,0,Asian
10.2,D12S391,0,Asian
10.2,D13S317,0,Asian
10.2,D16S539,0,Asian
10.2,D18S51,0,Asian
10.2,D19S433,0,Asian
10.2,D1S1656,0,Asian
10.2,D21S11,0,Asian
10.2,D22S1045,0,Asian
10.2,D2S1338,0,Asian
10.2,D2S441,0,Asian
10.2,D3S1358,0,Asian
10.2,D5S818,0,Asian
10.2,D6S1043,0,Asian
10.2,D7S820,0,Asian
10.2,D8S1179,0,Asian
10.2,F13A01,0,Asian
10.2,F13B,0,Asian
10.2,FESFPS,0,Asian
10.2,FGA,0,Asian
10.2,LPL,0,Asian
10.2,Penta_C,0,Asian
10.2,Penta_D,0,Asian
10.2,Penta_E,0,Asian
10.2,SE33,0,Asian
10.2,TH01,0,Asian
10.2,TPOX,0,Asian
10.2,vWA,0,Asian
10.3,CSF1PO,0,Asian
10.3,D10S1248,0,Asian
10.3,D12S391,0,Asian
10.3,D13S317,0,Asian
10.3,D16S539,0,Asian
10.3,D18S51,0,Asian
10.3,D19S433,0,Asian
10.3,D1S1656,0,Asian
10.3,D21S11,0,Asian
10.3,D22S1045,0,Asian
10.3,D2S1338,0,Asian
10.3,D2S441,0,Asian
10.3,D3S1358,0,Asian
10.3,D5S818,0,Asian
10.3,D6S1043,0,Asian
10.3,D7S820,0,Asian
10.3,D8S1179,0,Asian
10.3,F13A01,0,Asian
10.3,F13B,0,Asian
10.3,FESFPS,0.00515463917525773,Asian
10.3,FGA,0,Asian
10.3,LPL,0,Asian
10.3,Penta_C,0,Asian
10.3,Penta_D,0,Asian
10.3,Penta_E,0,Asian
10.3,SE33,0,Asian
10.3,TH01,0,Asian
10.3,TPOX,0,Asian
10.3,vWA,0,Asian
11,CSF1PO,0.216494845360825,Asian
11,D10S1248,0,Asian
11,D12S391,0,Asian
11,D13S317,0.268041237113402,Asian
11,D16S539,0.190721649484536,Asian
11,D18S51,0,Asian
