"population","relationship_type","sim_id","loci_set","LR"
"Cauc","cousins",1,"core_13",2.51039919227891
"Cauc","cousins",2,"core_13",0.596949029132127
"Cauc","cousins",3,"core_13",3.90978185821317
"Cauc","cousins",4,"core_13",0.728076769737122
"Cauc","cousins",5,"core_13",1.31270901318417
"Cauc","cousins",6,"core_13",0.806847744966412
"Cauc","cousins",7,"core_13",0.649174403613163
"Cauc","cousins",8,"core_13",1.88131333784064
"Cauc","cousins",9,"core_13",1.66234897658269
"Cauc","cousins",10,"core_13",1.47629727146214
"Cauc","second_cousins",1,"core_13",0.987568239157774
"Cauc","second_cousins",2,"core_13",1.29015293496323
"Cauc","second_cousins",3,"core_13",1.2489528390025
"Cauc","second_cousins",4,"core_13",0.831066829859529
"Cauc","second_cousins",5,"core_13",0.931901522815286
"Cauc","second_cousins",6,"core_13",0.859995710221803
"Cauc","second_cousins",7,"core_13",0.941375150790649
"Cauc","second_cousins",8,"core_13",2.76628835303412
"Cauc","second_cousins",9,"core_13",0.598559403030941
"Cauc","second_cousins",10,"core_13",0.83563749364148
"Cauc","unrelated",1,"core_13",1
"Cauc","unrelated",2,"core_13",1
"Cauc","unrelated",3,"core_13",1
"Cauc","unrelated",4,"core_13",1
"Cauc","unrelated",5,"core_13",1
"Cauc","unrelated",6,"core_13",1
"Cauc","unrelated",7,"core_13",1
"Cauc","unrelated",8,"core_13",1
"Cauc","unrelated",9,"core_13",1
"Cauc","unrelated",10,"core_13",1
"Cauc","unrelated",11,"core_13",1
"Cauc","unrelated",12,"core_13",1
"Cauc","unrelated",13,"core_13",1
"Cauc","unrelated",14,"core_13",1
"Cauc","unrelated",15,"core_13",1
"Cauc","unrelated",16,"core_13",1
"Cauc","unrelated",17,"core_13",1
"Cauc","unrelated",18,"core_13",1
"Cauc","unrelated",19,"core_13",1
"Cauc","unrelated",20,"core_13",1
"Cauc","unrelated",21,"core_13",1
"Cauc","unrelated",22,"core_13",1
"Cauc","unrelated",23,"core_13",1
"Cauc","unrelated",24,"core_13",1
"Cauc","unrelated",25,"core_13",1
"Cauc","unrelated",26,"core_13",1
"Cauc","unrelated",27,"core_13",1
"Cauc","unrelated",28,"core_13",1
"Cauc","unrelated",29,"core_13",1
"Cauc","unrelated",30,"core_13",1
"Cauc","unrelated",31,"core_13",1
"Cauc","unrelated",32,"core_13",1
"Cauc","unrelated",33,"core_13",1
"Cauc","unrelated",34,"core_13",1
"Cauc","unrelated",35,"core_13",1
"Cauc","unrelated",36,"core_13",1
"Cauc","unrelated",37,"core_13",1
"Cauc","unrelated",38,"core_13",1
"Cauc","unrelated",39,"core_13",1
"Cauc","unrelated",40,"core_13",1
"Cauc","unrelated",41,"core_13",1
