"population","relationship_type","sim_id","loci_set","combined_LR"
"Cauc","parent_child",1,"core_13",342496.057487686
"Cauc","parent_child",1,"identifiler_15",736930.866263582
"Cauc","parent_child",1,"expanded_20",42030808.443276
"Cauc","parent_child",1,"supplementary",9066833528.5398
"Cauc","parent_child",1,"autosomal_29",72629509121.2655
"Cauc","parent_child",2,"core_13",433251.571040463
"Cauc","parent_child",2,"identifiler_15",1914412.84337179
"Cauc","parent_child",2,"expanded_20",1163668421.23976
"Cauc","parent_child",2,"supplementary",29260310075.6731
"Cauc","parent_child",2,"autosomal_29",1571583932512.36
"Cauc","second_cousins",1,"core_13",1.51700840176538
"Cauc","second_cousins",1,"identifiler_15",1.33330816561411
"Cauc","second_cousins",1,"expanded_20",1.16040559897435
"Cauc","second_cousins",1,"supplementary",1.02463051497222
"Cauc","second_cousins",1,"autosomal_29",0.899054431989575
"Cauc","second_cousins",2,"core_13",1.04199846724761
"Cauc","second_cousins",2,"identifiler_15",1.0002661292095
"Cauc","second_cousins",2,"expanded_20",1.06009718368336
"Cauc","second_cousins",2,"supplementary",0.939187127779164
"Cauc","second_cousins",2,"autosomal_29",1.04693296945615
"Cauc","unrelated",1,"core_13",1
"Cauc","unrelated",1,"identifiler_15",1
"Cauc","unrelated",1,"expanded_20",1
"Cauc","unrelated",1,"supplementary",1
"Cauc","unrelated",1,"autosomal_29",1
"Cauc","unrelated",2,"core_13",1
"Cauc","unrelated",2,"identifiler_15",1
"Cauc","unrelated",2,"expanded_20",1
"Cauc","unrelated",2,"supplementary",1
"Cauc","unrelated",2,"autosomal_29",1
"Cauc","unrelated",3,"core_13",1
"Cauc","unrelated",3,"identifiler_15",1
"Cauc","unrelated",3,"expanded_20",1
"Cauc","unrelated",3,"supplementary",1
"Cauc","unrelated",3,"autosomal_29",1
"Cauc","unrelated",4,"core_13",1
"Cauc","unrelated",4,"identifiler_15",1
"Cauc","unrelated",4,"expanded_20",1
"Cauc","unrelated",4,"supplementary",1
"Cauc","unrelated",4,"autosomal_29",1
