ID1	POP1	ID2	POP2	IBD_CM_SUM
NA20519	TSI	NA20769	TSI	6.901615
HG00323	FIN	HG00361	FIN	23.82961
HG01142	CLM	HG01257	CLM	37.37005
HG01125	CLM	HG01492	CLM	10.47758
HG01142	CLM	HG01456	CLM	28.22807
NA19391	LWK	NA19457	LWK	11.42365
HG01164	PUR	HG01190	PUR	45.12231
HG00324	FIN	HG00367	FIN	10.45821
HG01142	CLM	HG01254	CLM	40.707
HG00743	PUR	HG01412	PUR	48.13003
HG01164	PUR	HG01474	CLM	5.200812
HG00171	FIN	HG00271	FIN	30.56378
HG01250	CLM	HG01977	PEL	5.648438
HG00743	PUR	HG01079	PUR	67.61957
HG01125	CLM	HG01389	CLM	31.08332
HG01086	PUR	HG01308	PUR	29.52906
HG01058	PUR	HG01303	PUR	36.67541
HG01164	PUR	HG01403	PUR	25.90563
HG01142	CLM	HG01360	CLM	31.37769
HG00743	PUR	HG01395	PUR	21.92153
HG01250	CLM	HG01360	CLM	28.02913
HG01142	CLM	HG01578	PEL	5.013062
HG01811	CDX	HG02187	CDX	5.16983
NA20783	TSI	NA20826	TSI	24.67306
HG01164	PUR	HG01395	PUR	26.19271
HG00187	FIN	HG00375	FIN	10.38067
HG01149	CLM	HG01356	CLM	7.693382
HG01142	CLM	HG02146	PEL	5.104111
HG01058	PUR	HG01183	PUR	33.13071
HG01885	ACB	HG02014	ACB	7.514114
HG01250	CLM	HG01362	CLM	19.33543
NA19391	LWK	NA19471	LWK	6.561642
NA21093	GIH	NA21141	GIH	23.85217
HG01142	CLM	HG01465	CLM	11.18848
HG03905	BEB	HG03914	BEB	5.131668
HG00187	FIN	HG00328	FIN	14.44997
HG01250	CLM	HG01465	CLM	21.61007
HG00743	PUR	HG01064	PUR	41.67579
HG01250	CLM	HG01492	CLM	13.13913
HG01086	PUR	HG01171	PUR	17.4895
HG00186	FIN	HG00280	FIN	13.90697
HG03135	ESN	NA18917	YRI	6.363525
NA12400	CEU	NA19921	ASW	5.088196
HG00186	FIN	HG00367	FIN	12.08632
HG00334	FIN	HG00350	FIN	14.65071
HG01058	PUR	HG01191	PUR	57.73691
HG02722	GWD	HG03060	MSL	5.45314
NA21141	GIH	NA21144	GIH	16.20345
HG00187	FIN	HG00343	FIN	22.48607
HG00743	PUR	HG01392	PUR	42.27729
HG00186	FIN	HG00189	FIN	24.01204
HG01083	PUR	HG01205	PUR	39.39648
HG01164	PUR	HG01311	PUR	24.20833
NA10851	CEU	NA12342	CEU	6.021973
NA19403	LWK	NA19445	LWK	17.50803
HG01384	CLM	HG01443	CLM	6.022629
HG04035	STU	HG04039	STU	5.838547
HG00186	FIN	HG00309	FIN	26.27591
HG01393	PUR	HG01412	PUR	39.08525
NA19332	LWK	NA19449	LWK	21.63982
HG01164	PUR	HG01167	PUR	32.43483
HG01082	PUR	HG01353	CLM	5.907013
HG00187	FIN	HG00371	FIN	11.26777
HG02687	PJL	HG02727	PJL	42.31036
HG00187	FIN	HG00362	FIN	5.286781
HG03861	ITU	HG04017	ITU	36.59418
HG02687	PJL	HG02783	PJL	27.50351
HG00285	FIN	HG00334	FIN	11.09447
HG01083	PUR	HG01326	PUR	39.38889
HG03193	ESN	HG03343	ESN	34.1613
HG00186	FIN	HG00382	FIN	21.58341
HG00638	PUR	HG01393	PUR	33.2637
HG00187	FIN	HG00290	FIN	32.49834
HG01260	CLM	HG01378	CLM	13.95869
HG01148	CLM	HG01375	CLM	9.368301
NA19309	LWK	NA19437	LWK	8.731417
HG01082	PUR	HG01205	PUR	18.80402
HG00189	FIN	HG00310	FIN	5.642685
HG01082	PUR	HG01083	PUR	15.92976
HG01260	CLM	HG01374	CLM	241.41
HG00324	FIN	HG00371	FIN	22.15386
NA18956	JPT	NA18968	JPT	5.003937
HG01384	CLM	HG01438	CLM	56.53505
HG00189	FIN	HG00278	FIN	26.11282
HG01082	PUR	HG01085	PUR	21.2393
HG01083	PUR	HG01173	PUR	26.36867
HG01083	PUR	HG01170	PUR	218.7212
HG00638	PUR	NA20296	ASW	8.155807
HG02687	PJL	HG02775	PJL	49.83253
HG01393	PUR	HG01398	PUR	59.45245
HG01885	ACB	HG01956	ACB	16.34892
HG00743	PUR	HG01067	PUR	91.16739
HG01086	PUR	HG01098	PUR	52.50092
HG01058	PUR	HG01171	PUR	20.24435
NA19332	LWK	NA19466	LWK	7.3497
HG00324	FIN	HG00328	FIN	26.28045
NA19315	LWK	NA19380	LWK	5.036011
HG01086	PUR	HG01167	PUR	92.24167
HG00743	PUR	HG01403	PUR	30.56042
HG01149	CLM	HG01351	CLM	6.150299
HG01111	PUR	HG01167	PUR	26.88509
HG01086	PUR	HG01311	PUR	11.97176
NA19391	LWK	NA19461	LWK	6.546875
HG01142	CLM	HG01377	CLM	46.59666
HG01142	CLM	HG01354	CLM	50.20492
HG00187	FIN	HG00341	FIN	5.06131
HG00334	FIN	HG00336	FIN	19.17224
HG00187	FIN	HG00268	FIN	25.54935
HG00187	FIN	HG00308	FIN	24.09892
HG01164	PUR	HG01183	PUR	17.71768
HG00743	PUR	HG01066	PUR	58.07611
HG00187	FIN	HG00353	FIN	32.91988
HG00743	PUR	HG01183	PUR	79.16331
HG02642	GWD	HG03048	GWD	8.169464
HG01142	CLM	HG01312	PUR	12.36232
HG00187	FIN	HG00358	FIN	28.60247
HG00189	FIN	HG00324	FIN	19.39082
HG00187	FIN	HG00361	FIN	34.25396
HG01142	CLM	HG01431	CLM	7.197853
NA20783	TSI	NA20790	TSI	14.40191
HG00743	PUR	HG01323	PUR	15.06354
HG00334	FIN	HG00383	FIN	5.416114
HG00334	FIN	HG00376	FIN	11.17145
HG00324	FIN	HG00382	FIN	13.40303
HG00324	FIN	HG00335	FIN	26.02633
HG02804	GWD	HG02819	GWD	48.73294
HG00113	GBR	HG00125	GBR	94.5123
HG01260	CLM	HG01474	CLM	60.48155
NA19309	LWK	NA19375	LWK	5.916946
HG01142	CLM	HG01351	CLM	14.27332
HG01142	CLM	HG01284	CLM	35.03757
HG01968	PEL	HG02278	PEL	8.482269
NA20540	TSI	NA20796	TSI	12.7541
HG00324	FIN	HG00366	FIN	23.23555
HG01058	PUR	HG01098	PUR	27.46981
HG01142	CLM	HG01356	CLM	41.69122
HG01205	PUR	HG01302	PUR	50.7597
HG01083	PUR	HG01182	PUR	36.60246
HG01205	PUR	HG01414	PUR	21.96618
HG00188	FIN	HG00323	FIN	12.2001
HG00186	FIN	HG00351	FIN	18.50588
NA19390	LWK	NA19473	LWK	6.081177
HG01134	CLM	HG01259	CLM	42.45742
HG00638	PUR	HG00740	PUR	29.46423
NA20783	TSI	NA20795	TSI	12.0868
HG01082	PUR	HG01094	PUR	33.67298
HG01148	CLM	HG01495	CLM	17.45091
HG00188	FIN	HG00331	FIN	6.293631
NA19380	LWK	NA19434	LWK	19.34628
HG03193	ESN	HG03303	ESN	17.78708
HG01134	CLM	HG01275	CLM	17.35569
HG01260	CLM	HG01431	CLM	20.33065
HG01205	PUR	HG01412	PUR	24.97181
HG03099	ESN	HG03121	ESN	10.9925
HG01459	CLM	HG01474	CLM	78.37348
HG03750	STU	HG03754	STU	3294.092
HG01260	CLM	HG01550	CLM	59.8363
HG00188	FIN	HG00269	FIN	13.22459
HG01148	CLM	HG01378	CLM	24.40989
HG00188	FIN	HG00367	FIN	30.35444
HG02687	PJL	HG02786	PJL	40.65854
HG01134	CLM	HG01495	CLM	29.06692
