allele,marker,frequency,population
9.1,D21S11,0,AfAm
9.1,D22S1045,0,AfAm
9.1,D2S1338,0,AfAm
9.1,D2S441,0,AfAm
9.1,D3S1358,0,AfAm
9.1,D5S818,0,AfAm
9.1,D6S1043,0,AfAm
9.1,D7S820,0,AfAm
9.1,D8S1179,0,AfAm
9.1,F13A01,0,AfAm
9.1,F13B,0,AfAm
9.1,FESFPS,0,AfAm
9.1,FGA,0,AfAm
9.1,LPL,0,AfAm
9.1,Penta_C,0,AfAm
9.1,Penta_D,0,AfAm
9.1,Penta_E,0,AfAm
9.1,SE33,0,AfAm
9.1,TH01,0,AfAm
9.1,TPOX,0,AfAm
9.1,vWA,0,AfAm
9.3,CSF1PO,0,AfAm
9.3,D10S1248,0,AfAm
9.3,D12S391,0,AfAm
9.3,D13S317,0,AfAm
9.3,D16S539,0,AfAm
9.3,D18S51,0,AfAm
9.3,D19S433,0,AfAm
9.3,D1S1656,0,AfAm
9.3,D21S11,0,AfAm
9.3,D22S1045,0,AfAm
9.3,D2S1338,0,AfAm
9.3,D2S441,0,AfAm
9.3,D3S1358,0,AfAm
9.3,D5S818,0,AfAm
9.3,D6S1043,0,AfAm
9.3,D7S820,0,AfAm
9.3,D8S1179,0,AfAm
9.3,F13A01,0,AfAm
9.3,F13B,0,AfAm
9.3,FESFPS,0,AfAm
9.3,FGA,0,AfAm
9.3,LPL,0,AfAm
9.3,Penta_C,0,AfAm
9.3,Penta_D,0,AfAm
9.3,Penta_E,0,AfAm
9.3,SE33,0,AfAm
9.3,TH01,0.0964912280701754,AfAm
9.3,TPOX,0,AfAm
9.3,vWA,0,AfAm
10,CSF1PO,0.25,AfAm
10,D10S1248,0.00730994152046784,AfAm
10,D12S391,0,AfAm
10,D13S317,0.0307017543859649,AfAm
10,D16S539,0.116959064327485,AfAm
10,D18S51,0.0043859649122807,AfAm
10,D19S433,0.010233918128655,AfAm
10,D1S1656,0.0146198830409357,AfAm
10,D21S11,0,AfAm
10,D22S1045,0.0409356725146199,AfAm
10,D2S1338,0,AfAm
10,D2S441,0.0847953216374269,AfAm
10,D3S1358,0,AfAm
10,D5S818,0.0730994152046784,AfAm
10,D6S1043,0.00584795321637427,AfAm
10,D7S820,0.336257309941521,AfAm
10,D8S1179,0.0307017543859649,AfAm
10,F13A01,0.00584795321637427,AfAm
10,F13B,0.128654970760234,AfAm
10,FESFPS,0.225146198830409,AfAm
10,FGA,0,AfAm
10,LPL,0.347953216374269,AfAm
10,Penta_C,0.0701754385964912,AfAm
10,Penta_D,0.0994152046783626,AfAm
10,Penta_E,0.0467836257309942,AfAm
10,SE33,0,AfAm
10,TH01,0.0043859649122807,AfAm
10,TPOX,0.0865102639296188,AfAm
10,vWA,0,AfAm
10.1,CSF1PO,0,AfAm
10.1,D10S1248,0,AfAm
10.1,D12S391,0,AfAm
10.1,D13S317,0,AfAm
10.1,D16S539,0,AfAm
10.1,D18S51,0,AfAm
10.1,D19S433,0,AfAm
10.1,D1S1656,0,AfAm
10.1,D21S11,0,AfAm
10.1,D22S1045,0,AfAm
10.1,D2S1338,0,AfAm
10.1,D2S441,0,AfAm
10.1,D3S1358,0,AfAm
10.1,D5S818,0,AfAm
10.1,D6S1043,0,AfAm
10.1,D7S820,0,AfAm
10.1,D8S1179,0,AfAm
10.1,F13A01,0,AfAm
10.1,F13B,0,AfAm
10.1,FESFPS,0,AfAm
10.1,FGA,0,AfAm
10.1,LPL,0,AfAm
10.1,Penta_C,0.00146198830409357,AfAm
10.1,Penta_D,0,AfAm
10.1,Penta_E,0,AfAm
10.1,SE33,0,AfAm
10.1,TH01,0,AfAm
10.1,TPOX,0,AfAm
10.1,vWA,0,AfAm
10.2,CSF1PO,0,AfAm
10.2,D10S1248,0,AfAm
10.2,D12S391,0,AfAm
10.2,D13S317,0,AfAm
10.2,D16S539,0,AfAm
10.2,D18S51,0,AfAm
10.2,D19S433,0,AfAm
10.2,D1S1656,0,AfAm
10.2,D21S11,0,AfAm
10.2,D22S1045,0,AfAm
10.2,D2S1338,0,AfAm
10.2,D2S441,0,AfAm
10.2,D3S1358,0,AfAm
10.2,D5S818,0,AfAm
10.2,D6S1043,0,AfAm
10.2,D7S820,0,AfAm
10.2,D8S1179,0,AfAm
10.2,F13A01,0,AfAm
10.2,F13B,0,AfAm
10.2,FESFPS,0,AfAm
10.2,FGA,0,AfAm
10.2,LPL,0,AfAm
10.2,Penta_C,0,AfAm
10.2,Penta_D,0,AfAm
10.2,Penta_E,0,AfAm
10.2,SE33,0.00146198830409357,AfAm
10.2,TH01,0,AfAm
10.2,TPOX,0,AfAm
10.2,vWA,0,AfAm
10.3,CSF1PO,0,AfAm
10.3,D10S1248,0,AfAm
10.3,D12S391,0,AfAm
10.3,D13S317,0,AfAm
10.3,D16S539,0,AfAm
10.3,D18S51,0,AfAm
10.3,D19S433,0,AfAm
10.3,D1S1656,0,AfAm
10.3,D21S11,0,AfAm
10.3,D22S1045,0,AfAm
