population,relationship_type,loci_set,proportion_exceeding_fixed,proportion_exceeding_1,proportion_exceeding_0_1,proportion_exceeding_0_01
Cauc,half_siblings,autosomal_29,1,1,1,1
Cauc,parent_child,core_13,1,1,1,1
Cauc,parent_child,identifiler_15,1,1,1,1
Cauc,parent_child,expanded_20,1,1,1,1
Cauc,parent_child,supplementary,1,1,1,1
Cauc,parent_child,autosomal_29,1,1,1,1
Cauc,second_cousins,core_13,0,0,0,0
Cauc,second_cousins,identifiler_15,0,0,0,0
Cauc,second_cousins,expanded_20,0,0,0,0
Cauc,second_cousins,supplementary,0.2,0.2,0.2,0.2
Cauc,second_cousins,autosomal_29,0,0,0,0
Hispanic,cousins,core_13,0.4,0.4,0.4,0.4
Hispanic,cousins,identifiler_15,0.6,0.6,0.6,0.6
Hispanic,cousins,expanded_20,0.6,0.6,0.6,0.6
Hispanic,cousins,supplementary,0.6,0.6,0.6,0.6
Hispanic,cousins,autosomal_29,0.8,0.8,0.8,0.8
Hispanic,full_siblings,core_13,1,1,1,1
Hispanic,full_siblings,identifiler_15,1,1,1,1
Hispanic,full_siblings,expanded_20,1,1,1,1
Hispanic,full_siblings,supplementary,1,1,1,1
Hispanic,full_siblings,autosomal_29,1,1,1,1
Hispanic,half_siblings,core_13,1,1,1,1
Hispanic,half_siblings,identifiler_15,1,1,1,1
Hispanic,half_siblings,expanded_20,1,1,1,1
Hispanic,half_siblings,supplementary,1,1,1,1
Hispanic,half_siblings,autosomal_29,1,1,1,1
Hispanic,parent_child,core_13,1,1,1,1
Hispanic,parent_child,identifiler_15,1,1,1,1
Hispanic,parent_child,expanded_20,1,1,1,1
Hispanic,parent_child,supplementary,1,1,1,1
Hispanic,parent_child,autosomal_29,1,1,1,1
Hispanic,second_cousins,core_13,0.4,0.4,0.4,0.4
Hispanic,second_cousins,identifiler_15,0.4,0.4,0.4,0.4
Hispanic,second_cousins,expanded_20,0.4,0.4,0.4,0.4
Hispanic,second_cousins,supplementary,0.4,0.4,0.4,0.4
Hispanic,second_cousins,autosomal_29,0.4,0.4,0.4,0.4
