"","n_sibs","n_half_sibs","n_first_degree","n_second_degree","n_third_degree"
"394",4,0,8,16,8
"395",0,0,4,7,14
"396",2,0,5,7,16
"397",1,0,5,5,0
"398",3,0,6,19,13
"399",4,0,11,10,4
"400",2,0,8,14,6
"401",0,0,8,13,24
"402",2,0,9,4,0
"403",0,0,3,5,9
"404",1,0,6,5,8
"405",0,0,2,7,16
"406",0,0,2,2,5
"407",1,0,12,8,16
"408",4,0,8,9,11
"409",2,0,5,6,8
"410",1,0,8,3,15
"411",1,0,3,4,2
"412",1,0,5,6,18
"413",0,0,5,4,11
"414",2,0,4,7,13
"415",2,0,4,6,2
"416",0,0,4,4,8
"417",2,0,5,16,9
"418",2,0,12,8,14
"419",1,0,3,6,17
"420",6,0,12,18,9
"421",3,0,9,16,31
"422",0,0,5,6,15
"423",1,0,5,3,7
"424",6,0,8,17,16
"425",3,0,12,14,13
"426",1,0,3,5,9
"427",2,0,9,9,7
"428",1,0,7,1,9
"429",6,0,8,29,38
"430",4,0,6,21,19
"431",1,0,6,9,16
"432",2,0,9,9,6
"433",0,0,2,7,14
"434",0,0,9,3,13
"435",1,0,3,5,11
"436",1,0,6,8,15
"437",1,0,7,11,23
"438",1,0,4,16,17
"439",2,0,6,10,14
"440",0,0,5,8,19
"441",0,0,9,4,3
"442",2,0,6,21,15
"443",4,0,13,11,7
"444",4,0,8,19,7
"445",1,0,3,16,44
"446",4,0,9,7,4
"447",1,0,8,6,17
"448",2,0,7,9,6
"449",0,0,2,7,17
"450",3,0,11,5,7
"451",1,0,8,4,0
"452",7,0,17,21,19
"453",1,0,12,6,6
"454",0,0,4,1,6
"455",4,0,7,13,0
"456",0,0,3,10,37
"457",0,0,9,6,17
"458",5,0,13,16,24
"459",2,0,10,7,3
"460",0,0,3,3,7
"461",2,0,4,9,13
"462",3,0,5,20,8
"463",1,0,8,11,20
"464",0,0,6,1,1
"465",1,0,3,2,13
"466",5,0,10,20,14
"467",0,0,5,8,27
"468",3,0,13,16,14
"469",2,0,4,4,4
"470",2,0,7,17,15
"471",5,0,7,9,2
"472",3,0,5,10,14
"473",8,0,12,29,6
"474",7,0,13,13,8
"475",2,0,5,12,19
"476",0,0,2,4,16
"477",8,0,10,32,22
"478",2,0,4,5,10
"479",4,0,6,14,14
"480",1,0,4,14,18
"481",1,0,3,13,27
"482",5,0,10,12,11
"483",2,0,11,17,11
"484",3,0,7,15,26
"485",2,0,7,11,20
"486",1,0,5,7,23
"487",2,0,7,9,14
"488",2,0,5,5,9
"489",2,0,9,10,19
"490",4,0,6,23,22
"491",3,0,7,10,0
"492",0,0,4,8,18
"493",5,0,12,28,5
"494",8,0,15,38,7
"495",2,0,8,9,0
"496",6,0,13,21,16
"497",0,0,10,6,9
"498",0,0,4,4,6
"499",0,0,6,5,13
"500",1,0,3,9,5
"501",0,0,4,5,13
"502",2,0,6,9,25
"503",0,0,4,3,8
"504",0,0,2,0,0
"505",2,0,11,5,8
"506",1,0,11,8,24
"507",4,0,9,15,6
"508",1,0,7,9,11
"509",4,0,6,16,11
"510",1,0,9,16,23
"511",2,0,4,6,0
"512",0,0,2,1,0
"513",0,0,6,0,0
"514",2,0,7,6,0
"515",0,0,4,6,9
"516",0,0,2,14,43
"517",1,0,7,6,11
"518",7,0,10,32,38
"519",4,0,9,27,24
"520",1,0,6,19,37
"521",5,0,8,15,12
"522",2,0,5,8,11
"523",3,0,9,16,36
"524",1,0,4,11,33
"525",1,0,9,8,6
"526",0,0,5,4,11
"527",0,0,6,5,17
"528",1,0,3,12,13
"529",0,0,3,10,25
"530",7,0,10,14,27
"531",2,0,10,20,19
"532",4,0,10,21,8
"533",1,0,4,4,14
"534",2,0,11,6,5
"535",6,0,10,26,3
"536",1,0,8,6,12
"537",2,0,8,22,12
"538",1,0,4,1,0
"539",0,0,4,6,10
"540",0,0,6,4,9
"541",2,0,10,9,10
"542",2,0,6,13,23
"543",1,0,4,9,11
"544",3,0,6,8,7
"545",0,0,2,5,13
"546",10,0,12,35,50
"547",7,0,9,12,5
"548",0,0,3,3,10
"549",1,0,3,12,21
"550",0,0,6,0,0
"551",1,0,3,8,12
"552",6,0,8,17,10
"553",2,0,7,15,11
"554",4,0,8,9,11
"555",3,0,7,10,12
