population,relationship_type,sim_id,loci_set,LR
Cauc,half_siblings,1,expanded_20,3762.7032251375
Cauc,half_siblings,2,expanded_20,0.897299733105743
Cauc,half_siblings,3,expanded_20,66.2947622009563
Cauc,half_siblings,4,expanded_20,21.3275344456891
Cauc,half_siblings,5,expanded_20,4.8571866438054
Cauc,cousins,1,expanded_20,3.25791827889486
Cauc,cousins,2,expanded_20,0.943368462763031
Cauc,cousins,3,expanded_20,0.694440825368871
Cauc,cousins,4,expanded_20,1.32736180163071
Cauc,cousins,5,expanded_20,0.555443074072957
Cauc,second_cousins,1,expanded_20,0.697125816166655
Cauc,second_cousins,2,expanded_20,0.675136953257021
Cauc,second_cousins,3,expanded_20,0.980901442673469
Cauc,second_cousins,4,expanded_20,1.17976519673987
Cauc,second_cousins,5,expanded_20,0.830266831422033
Cauc,unrelated,1,expanded_20,1
Cauc,unrelated,2,expanded_20,1
Cauc,unrelated,3,expanded_20,1
Cauc,unrelated,4,expanded_20,1
Cauc,unrelated,5,expanded_20,1
Cauc,unrelated,6,expanded_20,1
Cauc,unrelated,7,expanded_20,1
Cauc,unrelated,8,expanded_20,1
Cauc,unrelated,9,expanded_20,1
Cauc,unrelated,10,expanded_20,1
Hispanic,parent_child,1,expanded_20,226523.71372495
Hispanic,parent_child,2,expanded_20,8936.93173159261
Hispanic,parent_child,3,expanded_20,7629803589.79901
Hispanic,parent_child,4,expanded_20,9626127.03561546
Hispanic,parent_child,5,expanded_20,262192.296759536
Hispanic,full_siblings,1,expanded_20,36134.7590174848
Hispanic,full_siblings,2,expanded_20,4909554.46012552
Hispanic,full_siblings,3,expanded_20,42939188.07559
Hispanic,full_siblings,4,expanded_20,624187.324693775
Hispanic,full_siblings,5,expanded_20,833010.098167197
Hispanic,half_siblings,1,expanded_20,55083.8793669352
Hispanic,half_siblings,2,expanded_20,3.35355391910099
Hispanic,half_siblings,3,expanded_20,117.442496889492
Hispanic,half_siblings,4,expanded_20,12.6953681134157
Hispanic,half_siblings,5,expanded_20,1.0889043372655
Hispanic,cousins,1,expanded_20,1.89177033972165
Hispanic,cousins,2,expanded_20,9.70273576303411
