Allele,Marker,Frequency,Population,Sample_Size
17,...18,0.010309278350515464,"1036 revised Asian,",=97
17,...22,0.010309278350515464,"1036 revised Asian,",=97
17,...26,0.08247422680412371,"1036 revised Asian,",=97
17,...27,0.030927835051546393,"1036 revised Asian,",=97
17,...30,0.31443298969072164,"1036 revised Asian,",=97
17.2,...8,0.005154639175257732,"1036 revised Asian,",=97
17.3,...9,0.08762886597938144,"1036 revised Asian,",=97
18,...4,0.26288659793814434,"1036 revised Asian,",=97
18,...7,0.030927835051546393,"1036 revised Asian,",=97
18,...9,0.015463917525773196,"1036 revised Asian,",=97
18,...11,0.020618556701030927,"1036 revised Asian,",=97
18,...12,0.13402061855670103,"1036 revised Asian,",=97
18,...14,0.06701030927835051,"1036 revised Asian,",=97
18,...16,0.15979381443298968,"1036 revised Asian,",=97
18,...18,0.005154639175257732,"1036 revised Asian,",=97
18,...22,0.02577319587628866,"1036 revised Asian,",=97
18,...26,0.07731958762886598,"1036 revised Asian,",=97
18,...27,0.061855670103092786,"1036 revised Asian,",=97
18,...30,0.20618556701030927,"1036 revised Asian,",=97
18.3,...9,0.05154639175257732,"1036 revised Asian,",=97
19,...4,0.17525773195876287,"1036 revised Asian,",=97
19,...7,0.041237113402061855,"1036 revised Asian,",=97
19,...11,0.005154639175257732,"1036 revised Asian,",=97
19,...12,0.18041237113402062,"1036 revised Asian,",=97
19,...14,0.010309278350515464,"1036 revised Asian,",=97
19,...16,0.09278350515463918,"1036 revised Asian,",=97
19,...22,0.05670103092783505,"1036 revised Asian,",=97
19,...26,0.041237113402061855,"1036 revised Asian,",=97
19,...27,0.061855670103092786,"1036 revised Asian,",=97
19,...30,0.10824742268041238,"1036 revised Asian,",=97
19.3,...4,0.005154639175257732,"1036 revised Asian,",=97
19.3,...9,0.005154639175257732,"1036 revised Asian,",=97
19.399999999999999,...26,0.010309278350515464,"1036 revised Asian,",=97
20,...4,0.1958762886597938,"1036 revised Asian,",=97
20,...7,0.02577319587628866,"1036 revised Asian,",=97
20,...12,0.15979381443298968,"1036 revised Asian,",=97
20,...16,0.041237113402061855,"1036 revised Asian,",=97
20,...22,0.08762886597938144,"1036 revised Asian,",=97
20,...26,0.020618556701030927,"1036 revised Asian,",=97
20,...27,0.09278350515463918,"1036 revised Asian,",=97
20,...30,0.015463917525773196,"1036 revised Asian,",=97
20.2,...27,0.015463917525773196,"1036 revised Asian,",=97
21,...4,0.0979381443298969,"1036 revised Asian,",=97
21,...7,0.010309278350515464,"1036 revised Asian,",=97
21,...12,0.015463917525773196,"1036 revised Asian,",=97
21,...16,0.005154639175257732,"1036 revised Asian,",=97
21,...22,0.10309278350515463,"1036 revised Asian,",=97
21,...26,0.020618556701030927,"1036 revised Asian,",=97
21,...27,0.05154639175257732,"1036 revised Asian,",=97
21.2,...27,0.02577319587628866,"1036 revised Asian,",=97
22,...4,0.05670103092783505,"1036 revised Asian,",=97
22,...7,0.015463917525773196,"1036 revised Asian,",=97
22,...12,0.05154639175257732,"1036 revised Asian,",=97
22,...22,0.2422680412371134,"1036 revised Asian,",=97
22,...26,0.030927835051546393,"1036 revised Asian,",=97
22,...27,0.015463917525773196,"1036 revised Asian,",=97
22.2,...27,0.041237113402061855,"1036 revised Asian,",=97
23,...4,0.02577319587628866,"1036 revised Asian,",=97
23,...7,0.005154639175257732,"1036 revised Asian,",=97
23,...12,0.16494845360824742,"1036 revised Asian,",=97
23,...22,0.20618556701030927,"1036 revised Asian,",=97
23,...26,0.020618556701030927,"1036 revised Asian,",=97
23,...27,0.010309278350515464,"1036 revised Asian,",=97
23.2,...27,0.04639175257731959,"1036 revised Asian,",=97
24,...4,0.010309278350515464,"1036 revised Asian,",=97
24,...12,0.12886597938144329,"1036 revised Asian,",=97
24,...22,0.14948453608247422,"1036 revised Asian,",=97
24.2,...22,0.005154639175257732,"1036 revised Asian,",=97
24.2,...27,0.061855670103092786,"1036 revised Asian,",=97
24.3,...4,0.005154639175257732,"1036 revised Asian,",=97
25,...4,0.015463917525773196,"1036 revised Asian,",=97
25,...12,0.04639175257731959,"1036 revised Asian,",=97
25,...22,0.07216494845360824,"1036 revised Asian,",=97
25,...26,0.005154639175257732,"1036 revised Asian,",=97
25.2,...27,0.05670103092783505,"1036 revised Asian,",=97
26,...4,0.010309278350515464,"1036 revised Asian,",=97
26,...12,0.03608247422680412,"1036 revised Asian,",=97
26,...22,0.030927835051546393,"1036 revised Asian,",=97
26.2,...27,0.07216494845360824,"1036 revised Asian,",=97
27,...4,0.005154639175257732,"1036 revised Asian,",=97
27,...12,0.005154639175257732,"1036 revised Asian,",=97
27,...22,0.005154639175257732,"1036 revised Asian,",=97
27.2,...27,0.10309278350515463,"1036 revised Asian,",=97
28,...7,0.005154639175257732,"1036 revised Asian,",=97
28,...10,0.05670103092783505,"1036 revised Asian,",=97
28.2,...10,0.005154639175257732,"1036 revised Asian,",=97
28.2,...27,0.07731958762886598,"1036 revised Asian,",=97
29,...10,0.20103092783505155,"1036 revised Asian,",=97
29.2,...27,0.061855670103092786,"1036 revised Asian,",=97
30,...10,0.32989690721649484,"1036 revised Asian,",=97
30.2,...10,0.005154639175257732,"1036 revised Asian,",=97
30.2,...27,0.03608247422680412,"1036 revised Asian,",=97
30.3,...10,0.010309278350515464,"1036 revised Asian,",=97
31,...10,0.12371134020618557,"1036 revised Asian,",=97
31.2,...10,0.03608247422680412,"1036 revised Asian,",=97
31.2,...27,0.02577319587628866,"1036 revised Asian,",=97
32,...10,0.05670103092783505,"1036 revised Asian,",=97
32.200000000000003,...10,0.1134020618556701,"1036 revised Asian,",=97
32.200000000000003,...27,0.010309278350515464,"1036 revised Asian,",=97
33,...10,0.015463917525773196,"1036 revised Asian,",=97
33.200000000000003,...10,0.04639175257731959,"1036 revised Asian,",=97
43.2,...22,0.005154639175257732,"1036 revised Asian,",=97
Hobs,...2,0.7835051546391752,"1036 revised Asian,",=97
Hobs,...3,0.7525773195876289,"1036 revised Asian,",=97
Hobs,...4,0.865979381443299,"1036 revised Asian,",=97
Hobs,...5,0.8041237113402062,"1036 revised Asian,",=97
Hobs,...6,0.7422680412371134,"1036 revised Asian,",=97
Hobs,...7,0.8762886597938144,"1036 revised Asian,",=97
Hobs,...8,0.7835051546391752,"1036 revised Asian,",=97
Hobs,...9,0.8350515463917526,"1036 revised Asian,",=97
Hobs,...10,0.7731958762886598,"1036 revised Asian,",=97
Hobs,...11,0.7010309278350515,"1036 revised Asian,",=97
Hobs,...12,0.9072164948453608,"1036 revised Asian,",=97
Hobs,...13,0.8144329896907216,"1036 revised Asian,",=97
Hobs,...14,0.7422680412371134,"1036 revised Asian,",=97
Hobs,...15,0.8144329896907216,"1036 revised Asian,",=97
Hobs,...16,0.8350515463917526,"1036 revised Asian,",=97
Hobs,...17,0.6804123711340206,"1036 revised Asian,",=97
Hobs,...18,0.9072164948453608,"1036 revised Asian,",=97
Hobs,...19,0.6701030927835052,"1036 revised Asian,",=97
Hobs,...20,0.3711340206185567,"1036 revised Asian,",=97
Hobs,...21,0.8247422680412371,"1036 revised Asian,",=97
Hobs,...22,0.8762886597938144,"1036 revised Asian,",=97
Hobs,...23,0.5670103092783505,"1036 revised Asian,",=97
Hobs,...24,0.7216494845360825,"1036 revised Asian,",=97
Hobs,...25,0.7422680412371134,"1036 revised Asian,",=97
Hobs,...26,0.9175257731958762,"1036 revised Asian,",=97
Hobs,...27,0.9278350515463918,"1036 revised Asian,",=97
Hobs,...28,0.6804123711340206,"1036 revised Asian,",=97
Hobs,...29,0.6185567010309279,"1036 revised Asian,",=97
Hobs,...30,0.8144329896907216,"1036 revised Asian,",=97
PI,...2,0.10404931448613029,"1036 revised Asian,",=97
PI,...3,0.09193325539377191,"1036 revised Asian,",=97
PI,...4,0.047295142948241026,"1036 revised Asian,",=97
PI,...5,0.07577850993729406,"1036 revised Asian,",=97
PI,...6,0.09278350515463918,"1036 revised Asian,",=97
PI,...7,0.050696141991710034,"1036 revised Asian,",=97
PI,...8,0.07237751089382503,"1036 revised Asian,",=97
PI,...9,0.04814539270910829,"1036 revised Asian,",=97
PI,...10,0.05664789031778082,"1036 revised Asian,",=97
PI,...11,0.10298650228504622,"1036 revised Asian,",=97
PI,...12,0.042831331703687935,"1036 revised Asian,",=97
PI,...13,0.1187161228610904,"1036 revised Asian,",=97
PI,...14,0.14847486449144434,"1036 revised Asian,",=97
PI,...15,0.07896694654054628,"1036 revised Asian,",=97
PI,...16,0.03241577213306409,"1036 revised Asian,",=97
PI,...17,0.09852269104049313,"1036 revised Asian,",=97
PI,...18,0.04920820491019236,"1036 revised Asian,",=97
PI,...19,0.19353810181740885,"1036 revised Asian,",=97
PI,...20,0.3880327346157934,"1036 revised Asian,",=97
PI,...21,0.14741205229036028,"1036 revised Asian,",=97
PI,...22,0.052821766393878186,"1036 revised Asian,",=97
PI,...23,0.28536507599107236,"1036 revised Asian,",=97
PI,...24,0.10171112764374535,"1036 revised Asian,",=97
PI,...25,0.07662875969816131,"1036 revised Asian,",=97
PI,...26,0.01944946327983846,"1036 revised Asian,",=97
PI,...27,0.019024338399404834,"1036 revised Asian,",=97
