Allele,Marker,Frequency,Population,Sample_Size
14,...2,0.006355932203389831,"1036 revised Hispanic,",=236
14,...3,0.3389830508474576,"1036 revised Hispanic,",=236
14,...5,0.0614406779661017,"1036 revised Hispanic,",=236
14,...6,0.012711864406779662,"1036 revised Hispanic,",=236
14,...7,0.16101694915254236,"1036 revised Hispanic,",=236
14,...8,0.3538135593220339,"1036 revised Hispanic,",=236
14,...9,0.11652542372881355,"1036 revised Hispanic,",=236
14,...11,0.02754237288135593,"1036 revised Hispanic,",=236
14,...13,0.2055084745762712,"1036 revised Hispanic,",=236
14,...14,0.07838983050847458,"1036 revised Hispanic,",=236
14,...15,0.00847457627118644,"1036 revised Hispanic,",=236
14,...16,0.13135593220338984,"1036 revised Hispanic,",=236
14,...18,0.2627118644067797,"1036 revised Hispanic,",=236
14,...21,0.01059322033898305,"1036 revised Hispanic,",=236
14,...23,0.00847457627118644,"1036 revised Hispanic,",=236
14,...24,0.01059322033898305,"1036 revised Hispanic,",=236
14,...25,0.07021276595744681,"1036 revised Hispanic,",=236
14,...26,0.07203389830508475,"1036 revised Hispanic,",=236
14,...27,0.02754237288135593,"1036 revised Hispanic,",=236
14,...30,0.08050847457627118,"1036 revised Hispanic,",=236
14.2,...7,0.00211864406779661,"1036 revised Hispanic,",=236
14.2,...8,0.038135593220338986,"1036 revised Hispanic,",=236
14.2,...27,0.00211864406779661,"1036 revised Hispanic,",=236
14.3,...9,0.00423728813559322,"1036 revised Hispanic,",=236
15,...2,0.00211864406779661,"1036 revised Hispanic,",=236
15,...3,0.211864406779661,"1036 revised Hispanic,",=236
15,...4,0.04449152542372881,"1036 revised Hispanic,",=236
15,...5,0.00423728813559322,"1036 revised Hispanic,",=236
15,...6,0.00211864406779661,"1036 revised Hispanic,",=236
15,...7,0.15889830508474576,"1036 revised Hispanic,",=236
15,...8,0.13559322033898305,"1036 revised Hispanic,",=236
15,...9,0.13771186440677965,"1036 revised Hispanic,",=236
15,...11,0.4258474576271186,"1036 revised Hispanic,",=236
15,...13,0.048728813559322036,"1036 revised Hispanic,",=236
15,...14,0.3220338983050847,"1036 revised Hispanic,",=236
15,...15,0.00211864406779661,"1036 revised Hispanic,",=236
15,...16,0.03177966101694915,"1036 revised Hispanic,",=236
15,...18,0.1292372881355932,"1036 revised Hispanic,",=236
15,...19,0.006355932203389831,"1036 revised Hispanic,",=236
15,...25,0.010638297872340425,"1036 revised Hispanic,",=236
15,...26,0.09533898305084745,"1036 revised Hispanic,",=236
15,...27,0.036016949152542374,"1036 revised Hispanic,",=236
15,...30,0.1440677966101695,"1036 revised Hispanic,",=236
15.2,...8,0.05508474576271186,"1036 revised Hispanic,",=236
15.2,...27,0.006355932203389831,"1036 revised Hispanic,",=236
15.3,...9,0.05084745762711865,"1036 revised Hispanic,",=236
15.4,...26,0.00211864406779661,"1036 revised Hispanic,",=236
16,...3,0.09957627118644068,"1036 revised Hispanic,",=236
16,...4,0.0423728813559322,"1036 revised Hispanic,",=236
16,...7,0.125,"1036 revised Hispanic,",=236
16,...8,0.025423728813559324,"1036 revised Hispanic,",=236
16,...9,0.17584745762711865,"1036 revised Hispanic,",=236
16,...11,0.3495762711864407,"1036 revised Hispanic,",=236
16,...12,0.029661016949152543,"1036 revised Hispanic,",=236
16,...13,0.00211864406779661,"1036 revised Hispanic,",=236
16,...14,0.2796610169491525,"1036 revised Hispanic,",=236
16,...16,0.00211864406779661,"1036 revised Hispanic,",=236
16,...18,0.03177966101694915,"1036 revised Hispanic,",=236
16,...19,0.00423728813559322,"1036 revised Hispanic,",=236
16,...25,0.00425531914893617,"1036 revised Hispanic,",=236
16,...26,0.0614406779661017,"1036 revised Hispanic,",=236
